title,year,description,genre
death sentence,2007,Syn biznesmena zostaje zabity przez młodego gangstera. Nieusatysfakcjonowany ugodą sądową ojciec postanawia sam wymierzyć sprawiedliwość. ,thriller
polaroid,2019,"Nastoletnia Bird kupuje tajemniczy, stary aparat, którym robi zdjęcia na imprezie. Niebawem ludzie uwiecznieni na fotografiach zaczynają znikać w tajemniczych okolicznościach.",horror
tredowata,1976,Guwernantka zakochuje się w młodym ordynacie. Przeszkodą dla związku są uprzedzenia i plany jego rodziny. ,drama
a nightmare on elm street 3: dream warriors,1987,By pokonać Freddy'ego nastolatki muszą posiąść umiejętność kontroli własnych snów.,horror
permanent vacation,1980,"Bezrobotny i bezdomny młodzieniec tuła się bez celu po Nowym Jorku, od czasu do czasu prowadząc krótkie rozmowy z napotkanymi ludźmi. ",drama
the captive,2014,"Historia mężczyzny, który po ośmiu latach od zaginięcia ukochanej córki odkrywa nowe informacje mogące pomóc w odnalezieniu dziewczyny. ",thriller
comme un chef,2012,Doświadczony kucharz musi walczyć o swoją pozycję z konkurencyjnym szefem kuchni specjalizującym się w gastronomii molekularnej.,comedy
a love song for bobby long,2004,"Młoda Purslane otrzymuje wiadomość o śmierci matki. Kiedy przyjeżdża do Nowego Orleanu, dowiaduje się, że rodzinny dom zamieszkuje dwóch dawnych przyjaciół zmarłej kobiety, którzy nie mają zamiaru go opuszczać.",drama
keeping up with the joneses,2016,Do domu na przedmieściach wprowadza się tajemnicza para. Wszyscy sąsiedzi są zafascynowani nowo przybyłymi. ,comedy
babycall,2011,"Anna ucieka z synkiem przed agresywnym mężem. Zamiast rozpocząć nowe życie, zaczyna coraz bardziej tracić kontakt ze światem rzeczywistym.",thriller
apostle,2018,Mężczyzna stara się uratować swoją siostrę z rąk religijnej sekty.,horror
gierek,2022,"Historia życia Edwarda Gierka, I sekretarza KC PZPR w latach 1970–1980.",biography
mr. church,2016,Marie i jej córeczka zatrudniają na pół roku znakomitego kucharza. ,drama
in the tall grass,2019,"Przemierzające Kansas rodzeństwo słyszy wołanie o pomoc. Szukając źródła dźwięku, gubi się w wysokiej trawie.",horror
personal shopper,2016,"Maureen posiada zdolności mediumiczne, za pomocą których próbuje uzyskać kontakt ze zmarłym bratem. Niebawem dziewczyna zaczyna dostawać tajemnicze wiadomości. ",thriller
i dont know how she does it,2011,"Kate godzi karierę zawodową i szczęśliwe życie rodzinne do czasu, gdy zaczyna współpracę z przystojnym i uwodzicielskim Jackiem.",comedy
trapped,2002,Córka zamożnej rodziny Jenningsów zostaje uprowadzona przez doświadczonych porywaczy. Załamana matka próbuje odzyskać kontrolę nad sytuacją. ,thriller
die weisse massai,2005,Zakochana w Masaju Szwajcarka postanawia za niego wyjść i zamieszkać w Kenii. &nbsp; ,drama
the last picture show,1971,W umierającym teksańskim miasteczku grupa nastolatków rozpoczyna dorosłe życie. ,drama
the visitor,2007,"Gdy Walter wraca do swojego mieszkania w Nowym Jorku odkrywa, że przebywają w nim nielegalni imigranci. Pozwala im zostać. ",drama
hours,2013,"Nowy Orlean pustoszy huragan. Młody mężczyzna decyduje się pozostać w miejskim szpitalu, by towarzyszyć swej nowo narodzonej córeczce podłączonej do respiratora.",thriller
days of heaven,1978,Pracownik stalowni wyjeżdża do Teksasu wraz z narzeczoną i siostrą w poszukiwaniu lepszego życia. ,drama
horsemen,2009,"Aidan dostaje zadanie rozwikłania zagadki mordercy, który wydaje się naśladować Czterech Jeźdźców Apokalipsy.",thriller
killers of the flower moon,2023,"Gdy na terenie zamieszkiwanym przez Osagów odkryta zostaje ropa naftowa, członkowie plemienia zostają brutalnie zamordowani. Zabójstwa przykuwają uwagę FBI i J. Edgara Hoovera.",crime
cosmos,2015,Dwoje przyjaciół spędza czas u ekscentrycznej rodziny na prowincji. ,drama
cafe de flore,2011,"Miłosna historia opowiadająca o relacji między kobietą i mężczyzną, a także matką i jej synem.",drama
just mercy,2019," Światowej sławy adwokat Bryan Stevenson wspomina sprawę skazanego na karę śmierci Waltera McMilliana, którego udało mu się wybronić.",drama
exorcist: the beginning,2004,"Przeżywający kryzys wiary ojciec Merrin wyjeżdża na badania archeologiczne w Afryce, gdzie poszukuje starożytnego artefaktu.",horror
the fog,2005,Antonio Bay zostaje nawiedzone przez tajemniczą mgłę.,horror
the wild bunch,1969,"Banda Pike'a Bishopa rabuje kolejny bank i zabija kilka przypadkowych osób. Rusza za nimi pościg, któremu przewodzi jego dawny przyjaciel, Thornton.",western
timbuktu,2014,Spokojne życie hodowcy bydła i jego rodziny zostaje zakłócone przez dżihadystów.,drama
a royal night out,2015,Elżbieta i jej siostra Małgorzata wymykają się z przyjęcia w hotelu Ritz w Londynie. Podekscytowane ruszają w miasto. ,comedy
first reformed,2017,"Walczący z&nbsp;załamaniem duchowym pastor udziela wsparcia zrezygnowanemu mężowi ciężarnej parafianki, przez co staje w&nbsp;obliczu jeszcze większego kryzysu życiowego.",drama
the accused,1988,"Brutalnie zgwałcona młoda kobieta walczy o sprawiedliwość. Wraz z wspierającą ją prokurator wytacza proces nie tylko sprawcom, ale i świadkom tego zdarzenia.",drama
borgman,2013,"Tytułowy włóczęga wkracza do aroganckiej rodziny z wyższej klasy, zmieniając życie jej członków w psychologiczny koszmar. ",thriller
kagemusha,1980,"Ranny Takeda poleca znaleźć sobowtóra, by mógł go godnie zastąpić.",drama
white noise,2005,"Jonathan Rivers nie może pogodzić się ze śmiercią żony, dlatego próbuje nawiązać kontakt z jej duchem poprzez szumy w eterze. ",horror
you get me,2017,"Po nocy spędzonej z nowo poznanym chłopakiem, Tylerem, Holly ogarnia niezdrowa obsesja na jego punkcie. Przenosi się do jego liceum i próbuje kontynuować ich „związek”.",thriller
vivre sa vie: film en douze tableaux,1962,"Znudzona życiem i biedą Nana zaczyna się prostytuować. Choć jest przekonana, że w każdej chwili może z tym skończyć, wikła się w coraz bardziej zawiłe zależności. ",drama
alpeis,2011,"Pracownicy firmy ""Alpy"", wcielając się w niedawno zmarłą osobę, pomagają rodzinie i bliskim pogodzić się ze stratą.",drama
the great gatsby,1974,"Jay Gatsby, który niedawno dorobił się wielkiego majątku, podejmuje starania, by odzyskać utraconą miłość. Daisy porzuciła go kilka lat wcześniej i poślubiła bogatszego Toma.",drama
midnight run,1988,Łowca nagród ma za zadanie schwytanie i dostarczenie oszusta finansowego. Po piętach drepcze mu jednak mafia i FBI.,comedy
nigdy nie mow nigdy,2009,Pracująca jako headhunter Ama pragnie zrealizować się w roli matki.,comedy
jusqua la garde,2017,"Rozwiedzeni Miriam i Antoine walczą zacięcie o opiekę nad synem. Chłopiec boi się ojca, który wykorzystuje go do zdobywania informacji na temat byłej żony.",drama
serbuan maut 2: berandal,2014,Rama pod przykrywką infiltruje szeregi przestępczego syndykatu z Dżakarty. ,action
une rencontre,2014,Spotkanie żonatego mężczyzny z piękną kobietą owocuje wzajemną fascynacją.,romance
the incredible burt wonderstone,2013, Doskonała komedia w gwiazdorskiej obsadzie. Historia rywalizacji dwóch najpopularniejszych w Las Vegas magików - Burta Wonderstonea (Steve Carell) i Antona Marveltona... ,comedy
when we first met,2018,"Noah otrzymuje szansę powrotu do przeszłości, aby zdobyć wymarzoną dziewczynę. ",comedy
booksmart,2019,W przeddzień ukończenia liceum dwie przyjaciółki decydują się nadrobić jednej nocy cztery lata utracone na naukę bez zabawy.,comedy
police academy 4: citizens on patrol,1987,"By zwiększyć bezpieczeństwo mieszkańców, komendant akademii angażuje cywili do pomocy policji w patrolowaniu miasta.",comedy
paranormal activity: the marked ones,2013,"Rodzina i przyjaciele próbują uratować Jessego przed tajemniczymi siłami, które go nawiedzają. ",horror
ze zycie ma sens,2000,Grupa przyjaciół oddaje się amatorskiej twórczości filmowej. Dołącza do nich chłopak z sąsiedztwa prezentujący nowe pomysły.,drama
the haunting,1999,"Grupa osób cierpiących na bezsenność zgłasza się do badań prowadzonych w oddalonym od cywilizacji domu. Nie wiedzą, że grozi im śmiertelne niebezpieczeństwo.",horror
12 angry men,1997,Nastoletni chłopiec zostaje oskarżony o morderstwo. Dwunastu przysięgłych debatuje nad wyrokiem skazującym na śmierć.,drama
stir of echoes,1999,Po wybudzeniu z hipnozy Tom zaczyna miewać tajemnicze wizje. ,horror
untraceable,2008,"Agentka FBI ściga seryjnego mordercę, który przez Internet transmituje na żywo kolejne zbrodnie. ",thriller
striptease,1996,Była agentka FBI pracuje w klubie jako striptizerka.,thriller
the outlaw josey wales,1976,"Żołnierze Unii zabiją rodzinę i niszczą dobytek farmera. Poszkodowany mężczyzna poprzysięga zemstę, walcząc u boku konfederatów. ",western
joe,2013,"Historia byłego więźnia, który na swojej drodze spotyka nastolatka Gary'ego i jego lekkomyślnego ojca alkoholika. ",drama
napoleon dynamite,2004,Ekscentryczny Napoleon decyduje się pomóc swemu przyjacielowi Pedro w wygraniu wyborów na przewodniczącego klasy.,comedy
the stepfather,2009,Matka Michaela poznaje&nbsp;tajemniczego Davida. Chłopak zaczyna mieć wątpliwości co do prawdziwych zamiarów&nbsp;mężczyzny.,thriller
i still know what you did last summer,1998,"Grupa nastolatków musi stawić czoła maniakalnemu zabójcy, który ""nadal wie co zrobili zeszłego lata"". ",horror
darbareye elly,2009,Spędzająca czas nad morzem grupka przyjaciół traci z oczu podczas sztormu zabraną ze sobą dziewczynę o imieniu Elly. ,drama
the rookie,1990,Partner doświadczonego detektywa ginie w trakcie akcji. Na jego miejsce zostaje przydzielony nowicjusz. ,comedy
smile,2022,"Po tym, jak dr Rose Carter bierze udział w traumatycznym zdarzeniu z udziałem pacjentki, wokół niej zaczynają dziać się niewytłumaczalne rzeczy.",horror
der siebente kontinent,1989,"Anna, Georg i ich córka Evi tworzą typową zamożną austriacką rodzinę. Ich życie ulega diametralnej zmianie, gdy podejmują decyzję o wyjeździe. ",drama
zloty srodek,2009,"Pochodząca z warszawskiej Pragi Mirka kończy studia prawnicze i wkracza w środowisko odmienne od znanego jej świata. Wkrótce, dzięki swojej profesji oraz iście filmowej mistyfikacji, dziewczyna ma okazję pomóc najbliższym.",comedy
my big fat greek wedding 2,2016,Kilkanaście lat po ślubie Toula nadal próbuje uwolnić się od wszędobylskich greckich krewnych. Tymczasem małżeństwo jej rodziców okazuje się być nieważne. ,comedy
madres paralelas,2021,Dwie kobiety zostają matkami w tym samym dniu.,drama
men,2022,"Młoda kobieta po śmierci męża wyjeżdża na samotne wakacje do angielskiej posiadłości, by pozbyć się prześladujących ją wspomnień. ",thriller
the first wives club,1996,"Trzy przyjaciółki spotykają się po latach podczas pogrzebu koleżanki, która popełniła samobójstwo z powodu zdrady męża. Gdy wychodzi na jaw, że one także zostały porzucone przez współmałżonków, planują zemstę. ",comedy
kochaj,2016,"Sawa wkrótce bierze ślub z Jurkiem. Sytuacja się komplikuje, gdy poznaje przystojnego aktora - Krzysztofa.",comedy
the daughter,2015," Historia zagmatwanych losów dwóch rodzin, głęboko skrywanych tajemnic z&nbsp;przeszłości i sekretów, które nigdy nie miały ujrzeć światła dziennego.",drama
quiz show,1994,"Uczestnik teleturnieju odkrywa, że jego konkurenci w studio znają odpowiedzi na konkursowe pytania, gdyż wszystko jest z góry ustawione. ",drama
the deep blue sea,2011,Żona brytyjskiego sędziego zostaje przyłapana na romansie z pilotem sił powietrznych.,drama
the goldfinch,2019,"Theodore Decker ma 13 lat, kiedy jego matka ginie w zamachu terrorystycznym w Metropolitan Museum of Art. Zdezorientowany tą tragedią kradnie z muzeum bezcenne dzieło sztuki znane jako „Szczygieł”.",drama
candyman,1992,Studentka&nbsp;Helen Lyle bada miejską legendę o duchu zamordowanego Afroamerykanina bez ręki.,horror
nae meo-ri sok-eui ji-woo-gae,2004,"Historia miłości młodej pary, w którą wkracza choroba, odbierając im wspólne wspomnienia. ",drama
jeepers creepers ii,2003,"Autokar&nbsp;przewożący grupę studentów psuje się na środku pustyni. Nastolatkowie podejmują walkę o życie z nieznanym potworem, który właśnie rozpoczął&nbsp;łowy. ",horror
kak ya provel etim letom,2010,"Dwaj mężczyźni pracują w rosyjskiej stacji badawczej nad Oceanem Arktycznym. Sergiej to doświadczony, poważnie traktujący swoje obowiązki człowiek, a Paweł jest młodym, znudzonym monotonią praktykantem.",drama
piosenki o milosci,2021,Współczesna Warszawa. Młody muzyk poznaje początkującą wokalistkę z małego miasta.,drama
w lesie dzis nie zasnie nikt 2,2021,"Młody nieszczęśliwy policjant z Podlasia szuka swojego miejsca w świecie, a także stara się zdobyć względy pięknej Wanessy. ",horror
okolofutbola,2013,Czterech na pozór zwykłych mężczyzn tworzy elitarny klub fanatycznych kibiców Spartaka Moskwa. ,drama
la stanza del figlio,2001," Film opowiada historię włoskiej rodziny, prowadzącej spokojne, rodzinne życie. Tę sielankę przerywa tragiczna śmierć syna. Najbardziej przeżywa ją ojciec... ",drama
the tall man,2012,"Historia matki uprowadzonego chłopca, której przychodzi zmierzyć się z przerażającą legendą. ",thriller
the hunted,2003,W lasach Oregonu grasuje uzależniony od zabijania żołnierz sił specjalnych USA. Swojego ucznia ściga emerytowany trener wojskowy. ,thriller
zavet,2007,"Tsane zostaje wysłany przez umierającego dziadka do miasta – zgodnie z poleceniem ma wrócić do domu z ikoną, podarunkiem i narzeczoną.",comedy
how to marry a millionaire,1953,Trzy atrakcyjne modelki poszukują bogatych kandydatów na męża. ,comedy
the thomas crown affair,1999,Agentka odzyskująca skradzione dzieła sztuki stara się zdemaskować milionera - złodzieja. ,thriller
a nightmare on elm street part 2: freddys revenge,1985,"Freddy Krueger&nbsp;powraca po latach, aby wybrać swojego następcę.",horror
guess who,2005,"Ciemnoskóra Theresa przedstawia najbliższym swojego&nbsp;narzeczonego. Rodzinie jednak nie podoba się, że Simon ma biały kolor skóry.",comedy
anatomy of a murder,1959,"Adwokat zostaje obrońcą mężczyzny, oskarżonego o zamordowanie gwałciciela swojej żony.",drama
clear and present danger,1994,"Wicedyrektor CIA, Jack Ryan, rozpoczyna śledztwo w sprawie zabójstwa przyjaciela prezydenta USA. Podczas dochodzenia odkrywa powiązania wpływowych polityków z kolumbijskimi kartelami narkotykowymi.",thriller
damien: omen ii,1978,Trzynastoletni Damien stopniowo odkrywa swoją tożsamość oraz przeznaczenie. ,horror
children of the corn,1984,"Burt i Vicky docierają do ponurego miasteczka Gatlin, gdzie z przerażeniem stwierdzają, że żyją tam wyłącznie dzieci, które wymordowały dorosłych.",horror
ju-on,2002,"Rika jako wolontariuszka trafia do starego domu. Dziewczyna nie wie, że jest on nawiedzony.",horror
the swedish theory of love,2015,Dokument pokazuje współczesne konsekwencje wprowadzenia rozwiązań z manifestu partii socjalistycznej opublikowanego w 1968 roku.,documentary
scusa ma ti chiamo amore,2008,Pracownik agencji reklamowej zakochuje się w dużo młodszej od siebie licealistce. ,comedy
pig,2021,"Rob, prowadzący samotne życie poszukiwacza trufli w oregońskiej dziczy, pewnego dnia powraca do Portland w poszukiwaniu złodzieja, który ukradł jego ukochaną świnię.",drama
then came you,2018,"Pracownik lotniska mierzy się ze swoimi lękami, gdy cierpiąca na nieuleczalną chorobę nastolatka prosi go o pomoc w spełnieniu rzeczy, które chce zrobić przed śmiercią.",drama
supernova,2019,"Znany polityk powoduje wypadek drogowy, po którym matka i dwójka dzieci walczą o życie. Przybyła na miejsce policja usiłuje wyjaśnić okoliczności tragedii. ",drama
wakolda,2013,"Pewna argentyńska rodzina zaprzyjaźnia się z czarującym lekarzem z Niemiec. Nie wiedzą, że mężczyzna to Josef Mengele, słynący z okrucieństwa zbrodniarz wojenny. ",drama
je treba zabit sekala,1998,Chłopi nakłaniają kowala Barana do zabicia prześladującego ich Sekala. ,drama
durak,2014,"Wezwany do awarii hydraulik Dima zaczyna zdawać sobie sprawę, że stary budynek, w którym się znajduje, wkrótce runie.",drama
above the law,1988,Wyrzucony z policji stróż prawa prowadzi prywatne śledztwo w sprawie nielegalnej organizacji. ,thriller
when a stranger calls,2006,"Z pozoru niewinny wieczór zmienia się w koszmar, gdy opiekunka do dzieci zaczyna być nękana telefonami przez tajemniczego mężczyznę.",thriller
slodko gorzki,1996,Po powrocie do domu Mateusz dowiaduje się o samobójstwie kolegi. Postanawia na własną rękę wyjaśnić przyczynę tragedii.,drama
sibirskiy tsiryulnik,1998,"II połowa XIX wieku. Jane Callahan udaje się do carskiej Rosji, gdzie ma pomóc w interesach amerykańskiemu wynalazcy. Podczas podróży pociągiem poznaje przystojnego kadeta, Andrieja Tołstoja.",drama
wait until dark,1967,"Niewidoma kobieta podejmuje walkę z przestępcami, którzy są zainteresowani lalką pełną heroiny znajdującą się w jej mieszkaniu.",thriller
amsterdam,2022,"Lata 30 XX wieku. Dwóch żołnierzy i sanitariuszka to trójka bliskich przyjaciół, która zostaje uwikłana w jedną z najbardziej szokujących i tajemniczych intryg w historii Stanów Zjednoczonych.",comedy
estiu 1993,2017,"Sześcioletnia Frida, po stracie matki, musi nauczyć się żyć z nowymi opiekunami. Wszystko się dzieje w błogiej, letniej scenerii katalońskiej prowincji.",drama
le chant du loup,2019,Załoga supernowoczesnego okrętu podwodnego wykonuje misję wojskową u wybrzeży Syrii. W pewnym momencie specjalista obsługi sonaru melduje niezidentyfikowany dźwięk dobiegający z morskich głębin.,drama
the specialist,1994,Piękna kobieta przygotowuje zemstę na zabójcach rodziców. Perfekcyjny plan powoli wprowadza w życie.,thriller
earthlings,2005," Film dokumentalny stworzony, by uświadomić przeciętnego człowieka, w jaki sposób współczesna cywilizacja wykorzystuje zwierzęta do własnych celów. Autor stawia teorię o... ",documentary
the truffle hunters,2020,"Opowieść o grupie uroczych włoskich staruszków, którzy odkryli swój przepis na szczęście - razem ze swoimi ukochanymi psami szukają rzadkich i drogich trufli Alba w piemonckich górach. ",documentary
things we lost in the fire,2007,"Po tragicznej śmierci Briana, jego żona Audrey oraz przyjaciel Jerry dają sobie nawzajem tak potrzebne wsparcie. ",drama
pasazerka,1963,"Na pokładzie transatlantyckiego statku niemieckie małżeństwo spotyka kobietę, która przywołuje bolesne wspomnienia. ",drama
saint maud,2019,"Maud przyjeżdża do luksusowej posiadłości ekscentrycznej Amandy. Wkrótce dziewczyna przekonuje się o swojej ważnej misji, która zamieni się w niebezpieczną obsesję... ",horror
snatched,2017,Amy razem ze swoją matką wyjeżdżają na wycieczkę do Ekwadoru. Na miejscu zostają porwane i wywiezione do dżungli.,comedy
wszystkie nasze strachy,2021,"Daniel - artysta, katolik i aktywista - postanawia rozprawić się z homofobią lokalnej społeczności.",drama
dylda,2019,"Leningrad, koniec 1945 roku. Dwie przyjaciółki pragną otrząsnąć się z wojennej traumy.",drama
jasne blekitne okna,2006,"Film opowiada o relacji dwóch kobiet, które odświeżają swoją przyjaźń z dzieciństwa. ",drama
kyss mig,2011,"Mia i Frida poznają się na imprezie zaręczynowej swoich rodziców. Między nimi rodzi się silne, dramatyczne w skutkach uczucie. ",drama
xxy,2007,"Alex jest hermafrodytą, który właśnie staje przed problemem wyboru płci. Wizyta znajomych wraz z synem staje się tłem do poszukiwania tożsamości seksualnej. ",drama
the theory of flight,1998,Podczas wykonywania prac społecznych Richard poznaje Jane. Oboje szybko się zaprzyjaźniają i razem zaczynają realizować swoje marzenia. ,drama
ma,2019,"Samotna kobieta pozwala grupie nastolatków na zorganizowanie przyjęcia w swoim domu. Zachwycona młodzież organizuje przyjęcie, podczas którego jednak zaczynają się dziać rzeczy ujawniające intencje gospodyni. ",horror
x,2022,"Koniec lat 70., grupa młodych filmowców jedzie do Teksasu aby nakręcić porno. Na miejscu okazuje się, że muszą walczyć o życie. ",horror
za duzy na bajki,2022,Waldek walczy o uczestnictwo w wielkim turnieju gamingowym. Pasja do gier okazuje się nie mniej ważna niż siła przyjaźni i miłości.,family
summer of 84,2018,"Grupa nastolatków zaczyna szpiegować miejscowego policjanta, podejrzewając, że jest on seryjnym mordercą.",thriller
must love dogs,2005,"Carol tworzy dla rozwiedzionej siostry, Sarah Nolan, profil na portalu randkowym, gdzie jako kryterium podaje, że przyszły partner musi kochać psy.",comedy
gretel &amp; hansel,2020," Głód i brak pracy, zmusza rodzeństwo Małgosię i Jasia do opuszczenia rodzinnego domu. Jedyna znana im droga wiedzie przez niekończący się las, który jakby pulsuje jakimś odwiecznym życiem.",horror
i am dina,2002,"Dina jako dziecko spowodowała śmierć matki, przez co została odrzucona przez ojca. Gdy dorasta, godzi się pod wpływem szantażu rodzica na ślub z mężczyzną, którego nie kocha. ",drama
employee of the month,2006,"Zack, leniwy pracownik supermarketu, zakochuje się w koleżance z pracy, Amy. Chcąc zdobyć jej uznanie, staje do walki o tytuł ""Pracownika miesiąca"". ",comedy
the silence,2019,"Rodzina pewnej nastolatki poszukuje schronienia na&nbsp;odludziu po&nbsp;tym, jak świat zaatakowały przerażające stworzenia, które polują na&nbsp;ludzi, korzystając ze&nbsp;świetnego słuchu.",horror
gods own country,2017,"Johnny Saxby, rolnik z&nbsp;Yorkshire, swoje frustracje rozładowuje w alkoholu i przypadkowym seksie. Jego życie zmienia się kiedy przyjeżdża rumuński imigrant zatrudniony na okres narodzin owiec.",drama
the prodigy,2019,"Miles jako dziecko wykazuje niezwykłą inteligencję. Gdy kończy 8 lat, rodzice zauważają zmiany w jego zachowaniu i wzrost agresji.",horror
the rewrite,2014,"Nagrodzony Oscarem scenarzysta opuszcza Hollywood, by uczyć scenopisarstwa na Wschodnim Wybrzeżu. Wkrótce mężczyzna zakochuje się w samotnej matce.",comedy
magical girl,2014,Ojciec śmiertelnie chorej dziewczyny postanawia spełnić jej ostatnie życzenie i zdobyć sukienkę bohaterki japońskiej kreskówki.,drama
flashbacks of a fool,2008, Starzejący się aktor – Joe Scott (Daniel Craig) jest bogaty i bardzo samotny. Pewnego dnia dowiaduje się o śmierci swojego największego przyjaciela z dzieciństwa. Wtedy... ,drama
tremors,1990,Val i Earl postanawiają opuścić swoje rodzinne miasteczko w poszukiwaniu lepszego życia. W drodze zostają zaatakowani przez pełzające pod ziemią ogromne larwy. ,horror
akahige,1965,Młody absolwent medycyny Noboru Yasumoto rozpoczyna pracę w ubogiej dzielnicy Edo. Praktyka pod okiem doświadczonego doktora Niide staje się dla chłopaka lekcją życia.,drama
hors normes,2019,"Bruno i Malik są najlepszymi kumplami, którzy od dwudziestu lat czynnie działają na rzecz autystycznych dzieci i młodzieży. W prowadzonych przez siebie ośrodkach szkolą młodych ludzi z trudnych dzielnic, aby ci fachowo zajmowali się trudnymi przypadkami. ",drama
den skaldede frisr,2012,"Gdy walcząca z rakiem Ida dowiaduje się, że mąż ją zdradza, wyjeżdża do Włoch na ślub córki. Tam poznaje cierpiącego po stracie żony wdowca. ",comedy
elena,2011,"Pielęgniarka Elena wychodzi za bardzo bogatego, acz skąpego mężczyznę. Jej syn ma kłopoty finansowe, ta obmyśla więc plan, jak zdobyć dla niego pieniądze. ",drama
my bloody valentine,2009,"Tom po powrocie do swojego rodzinnego miasta, zostaje oskarżony o popełnienie serii tajemniczych morderstw.&nbsp;",horror
kabhi alvida naa kehna,2006,"W dniu ślubu Maya poznaje Deva, odnoszącego sukcesy piłkarza, który ostatecznie przekonuje ją, aby wyszła za Rishiego, przyjaciela z dzieciństwa. Rok później ta dwójka ponownie się spotyka, jednak oboje nie są zadowoleni zarówno ze swoich małżeństw, jak i życia.",drama
suna no onna,1964,Młody mężczyzna trafia do stojącej pośród wydm chatki. Mieszkająca w niej kobieta nie opuszcza swojego domu z powodu niesprzyjających warunków atmosferycznych. ,drama
deja vu,1989,"Johnny Pollack, zawodowy morderca pracujący dla chicagowskiej mafii, wyjeżdża do Odessy z misją zlikwidowania zdrajcy, co nie jest proste w sowieckiej rzeczywistości. ",comedy
inherit the wind,1960,"Młody nauczyciel zostaje oskarżony o herezję, po tym jak wychodzi na jaw, że naucza w szkole teorii Karola Darwina. Jego obrońcą zostaje kontrowersyjny prawnik, Henry Drummond.",drama
the call of the wild,2020," Buck to pies o wielkim sercu, którego świat staje na głowie, gdy wprost z sielskiego domu w Kalifornii trafia na egzotyczne pustynie śnieżne Alaski podczas gorączki złota lat 90-tych XIX wieku.",adventure
the devils rejects,2005,Niezrównoważony szeryf mierzy się z rodziną psychopatycznych morderców.,horror
la belle personne,2008,Szesnastoletnia Junie po śmierci matki zmienia szkołę. Wkrótce zakochuje się w nauczycielu włoskiego.,drama
komunia,2016,"Komunia Święta niepełnosprawnego brata staje się pretekstem dla Oli, by rozbita rodzina zasiadła razem przy jednym stole. ",documentary
take the money and run,1969,"Virgilowi Starkwellowi nic&nbsp;w życiu nie wychodzi. Schodzi więc na przestępczą drogę, a kiedy poznaje piękną dziewczynę, postanawia się&nbsp;zmienić.",comedy
bobby,2006,Czwartego czerwca 1968 roku kalifornijski hotel Ambassador jest pełen gości. Większość w napięciu oczekuje na wyniki wyborów i wystąpienie Roberta Kennedy'ego.,drama
a woman under the influence,1974,"Nick kocha swoją żonę Mabel, lecz jej nie rozumie. Z braku poprawnej komunikacji kobieta popada w szaleństwo.",drama
the east,2013,"Rezolutna agentka przenika w szeregi grupy ""Wschód"", aby zidentyfikować jej najnowsze cele. ",thriller
the dyatlov pass incident,2013,"Grupa studentów wyrusza na wyprawę górską, aby wyjaśnić&nbsp;tajemniczą śmierć&nbsp;alpinistów w 1959 roku. ",horror
to the wonder,2012,"Ukraińska rozwódka zakochuje się w Amerykaninie Neilu, który zaprasza ją do rodzinnej Oklahomy.",drama
manhattan nocturne,2016,Felietonista poczytnego tabloidu sprzedaje czytelnikom morderstwa i skandale. Wkrótce sam znajdzie się w środku jednego z nich. ,thriller
pech to nie grzech,2018,"Piotr oraz jego narzeczona Weronika zakładają się, że Natalia przez trzy miesiące z nikim się nie zwiąże, ani nie zakocha. Chcąc odegrać się na znajomych, kobieta wpada w romantyczną intrygę.",comedy
dzikie roze,2017,Mąż Ewy wyjeżdża za granicę. Kobieta wdaje się w romans z nastolatkiem. ,drama
the pyramid,2014,Zespół amerykańskich archeologów gubi się w ciemnych korytarzach starożytnej piramidy egipskiej.,horror
snake eyes,1998,"Podczas walki bokserskiej zostaje zastrzelony sekretarz stanu. Obecny na widowni skorumpowany policjant Santoro oraz szef ochrony Dunne za wszelką cenę chcą zdemaskować sprawcę, który ukrywa się wśród 14 tysięcy widzów. ",thriller
le mepris,1963,Studium rozpadu małżeństwa scenarzysty Paula i jego żony Camille. W trakcie najeżonej przeszkodami produkcji filmowej ich związek zostaje wystawiony na ciężką próbę.,drama
phenomenon,1996,Prosty mechanik samochodowy staje się geniuszem w skutek porażenia strumieniem światła. ,drama
brideshead revisited,2008,Rozpoczynający studia na Oxfordzie Charles zaprzyjaźnia się z rodzeństwem młodych arystokratów i zamieszkuje w ich rodzinnej posiadłości. ,drama
jungfrukallan,1960,"Średniowieczna Szwecja. Pochodząca z bogatej, osiadłej na wsi rodziny Karin jest zazdrosna o siostrę, która spodziewa się dziecka. ",drama
teorema,1968," Opowiedziana historia jest nowoczesną parabolą poetycką. Rodzinę pewnego przemysłowca nawiedza młody mężczyzna, który błyskawicznie staje się kochankiem wszystkich... ",drama
my cousin vinny,1992,"Bill i Stan zostają niesłusznie oskarżeni o morderstwo. Będzie ich bronić niedoświadczony adwokat, który nie zna procedur panujących na sali sądowej. ",comedy
geograf globus propil,2013,Młody biolog Wiktor Służkin zatrudnia się jako nauczyciel geografii w permskiej szkole. Praca z nastolatkami jest sporym wyzwaniem. ,drama
the misfits,1961,"Atrakcyjna kobieta tuż po rozwodzie wyjeżdża za miasto, by wypocząć. Towarzyszą jej dwaj przyjaciele, którzy z czasem zakochują się w niej. ",drama
the company men,2010," Trzej mężczyźni są przyzwyczajeni do luksusowego życia, które zapewnia im praca w dużej korporacji. Po otrzymaniu wypowiedzenia stawiają czoła zupełnie nowej rzeczywistości. ",drama
